Construction Keywords
Garage construction
House construction
House alteration 
House renovation
Apartment construction
Duplex house construction
Flat construction
Semi-detached house construction
Commercial building construction
Industrial building construction
Office building construction
Prefabricated non-residential building assembly
Aerodrome runway construction
Asphalt surfacing
Bridge construction
Elevated highway construction
Overpass construction
Parking lot construction
Repair or maintenance of roads or bridges
Road construction
Breakwater construction
Cable laying
Canal construction
Dam construction
"Distribution line, electricity or communication, construction"
Dredging
"Electrical machinery, heavy, installation"
Electricity power plant construction
Flood control system construction
Furnace construction
Golf course construction
Harbour work construction
Irrigation system construction
Jetty construction
Lake construction
Mine site construction
Oil refinery construction
Pile driving
Pipeline construction
Railway permanent way construction
River work construction
Sewage or stormwater drainage system construction
Sewage treatment plant construction
Sports field construction
"Swimming pool, below ground concrete or fibreglass, construction"
Television or radio transmitting tower construction
Tunnel construction
Water filtration plant construction
Water tank construction
Land subdivision or development
Demolition of buildings or other structures
Earthmoving
Excavation
Explosives laying
Ground de-watering
Land clearing
Levelling
Removal of overburden
Trench digging
Concrete footpath construction
Concrete foundation construction
Concrete kerb and guttering construction
Concrete pumping
Concrete work on construction projects
"Repair of kerbs, gutters or other concrete structural products"
Bricklaying
Concrete block laying
Repair of brickwork
Stonework on construction projects
Metal roof fixing
"Roof painting, spraying or coating"
Roof tiling
Metal silo erection
Metal storage tank erection
Reinforcing steel erection
Structural steel erection
"Truss or joist, steel, erection"
Welding work on construction projects
Drain construction or repairing
Gas plumbing
"Guttering, roof, installation or repair"
Hot water system installation
Installation of domestic water recycling equipment
Plumbing
Repair of installed plumbing
Septic tank installation
Solar hot water system installation
Electric light installation
Electric wiring installation
Electrical installation work
Installation of television antennae or cable
Installation of television satellite dish
Repair or maintenance of electrical wiring
Telecommunication cable or wire installation
Traffic signal installation
Air conditioning duct work installation
Air conditioning equipment installation
Coolroom refrigerator installation
Freezer room construction
Heating equipment installation
Oil heater installation
Refrigeration equipment installation
Ventilation equipment installation n.e.c.
Closed circuit video surveillance system installation
Fire alarm system installation
Fire sprinkler installation
Repair of installed fire or burglar security alarm systems
Security system installation
Smoke detector installation
"Awning, blind or shutter installation"
Curtain installation
"Elevator, escalator or lift installation"
Flywire screen installation
Insulation material installation
Cement rendering of buildings
Decorative plaster fixing
Fibrous plaster fixing or finishing
Plaster work on construction projects
Plasterboard fixing or finishing
Carpentry work on construction projects
Joinery work on construction projects
"Roof truss, wooden, fixing"
Wooden flooring installation
Wooden formwork erection
Wooden kitchen cabinet installation
Wooden roof truss installation
Carpet or carpet tile laying
Floor covering laying n.e.c.
Floor sanding
Floor tiling
Linoleum or linotile fixing
Mosaic work on construction projects
Slate flooring installation
Terrazzo laying
Wall tiling
House painting
Painting of buildings or other structures
Spray painting of buildings or other structures
Wallpapering
Glazing
Window frame installation
Window installation
Window insulation fixing
Brick paving
Fence construction
Pond construction
Landscape construction
Lawn construction
Retaining wall construction
Rockery work
Streetscape planting
Construction machinery hiring with operator
Crane hiring with operator
Metal wall cladding fixing to buildings
Petrol bowser installation
Sand blasting or steam cleaning of building exteriors
Scaffolding construction
Waterproofing of building
